STATE,TOTAL VOTES,Democratic,Democratic,Democratic,Republican,Republican,Republican,
STATE,TOTAL VOTES,WOODROW WILSON,WOODROW WILSON,WOODROW WILSON,CHARLES E. HUGHES,CHARLES E. HUGHES,CHARLES E. HUGHES,
STATE,TOTAL VOTES,Votes,%,EV,Votes,%,EV,
,,,,,,,,
Alabama,131142,99409,75.6,12,28809,21.9,,
Arizona,58019,33170,57.2,3,20522,35.4,,
Arkansas,168348,112186,66.6,9,47148,28.0,,
California,999250,465936,46.6,13,462516,46.3,,
Colorado,294375,178816,60.5,6,102308,34.8,,
Connecticut,213874,99786,46.7,,106514,49.8,7,
Delaware,51810,24753,47.8,,26011,50.2,3,
Florida,80734,55984,69.3,6,14611,18.1,,
Georgia,158690,125845,79.3,14,11225,7.1,,
Idaho,134615,70054,52.0,4,55368,41.1,,
Illinois,2192707,950229,43.3,,1152549,52.6,29,
Indiana,718853,334063,46.5,,341005,47.4,15,
Iowa,518738,221699,42.7,,280439,54.1,13,
Kansas,629813,314588,49.9,10,277658,44.1,,
Kentucky,520078,269990,51.9,13,241854,46.5,,
Louisiana,92974,79875,85.9,10,6466,7.0,,
Maine,136314,64033,47.0,,69508,51.0,6,
Maryland,262039,138359,52.8,8,117347,44.8,,
Massachusetts,531822,247885,46.6,,268784,50.5,18,
Michigan,646873,283993,43.9,,337952,52.2,15,
Minnesota,387367,179155,46.2,,179544,46.3,12,
Mississippi,86679,80422,92.8,10,4253,4.9,,
Missouri,786773,398032,50.6,18,369339,46.9,,
Montana,178009,101104,56.8,4,66933,37.6,,
Nebraska,287315,158827,55.3,8,117771,41.0,,
Nevada,33314,17776,53.4,3,12127,36.4,,
New Hampshire,89127,43781,49.1,4,43725,49.1,,
New Jersey,494442,211018,42.7,,268982,54.4,14,
New Mexico,66879,33693,50.4,3,31097,46.5,,
New York,1706305,759426,44.5,,879238,51.5,45,
North Carolina,289837,168383,58.1,12,120890,41.7,,
North Dakota,115390,55206,47.8,5,53471,46.3,,
Ohio,1165091,604161,51.9,24,514753,44.2,,
Oklahoma,292327,148123,50.7,10,97233,33.3,,
Oregon,261650,120087,45.9,,126813,48.5,5,
Pennsylvania,1297189,521784,40.2,,703823,54.3,38,
Rhode Island,87816,40394,46.0,,44858,51.1,5,
South Carolina,63950,61845,96.7,9,1550,2.4,,
South Dakota,128942,59191,45.9,,64217,49.8,5,
Tennessee,272190,153280,56.3,12,116223,42.7,,
Texas,372467,286514,76.9,20,64999,17.5,,
Utah,143145,84145,58.8,4,54137,37.8,,
Vermont,64475,22708,35.2,,40250,62.4,4,
Virginia,153993,102825,66.8,12,49358,32.1,,
Washington,380994,183388,48.1,7,167208,43.9,,
West Virginia,289671,140403,48.5,1,143124,49.4,7,
Wisconsin,447134,191363,42.8,,220822,49.4,13,
Wyoming,51906,28376,54.7,3,21698,41.8,
