STATE,TOTAL VOTES,Democratic,Democratic,Democratic,Republican,Republican,Republican,Reform,Reform,Reform,
STATE,TOTAL VOTES,BILL CLINTON,BILL CLINTON,BILL CLINTON,ROBERT DOLE,ROBERT DOLE,ROBERT DOLE,H. ROSS PEROT,H. ROSS PEROT,H. ROSS PEROT,
STATE,TOTAL VOTES,Votes,%,EV,Votes,%,EV,Votes,%,EV,
,,,,,,,,,,
Alabama,1534349,662165,43.2,,769044,50.1,9,92149,6.0,
Alaska,241620,80380,33.3,,122746,50.8,3,26333,10.9,
Arizona,1404405,653288,46.5,8,622073,44.3,,112072,8.0,
Arkansas,884262,475171,53.7,6,325416,36.8,,69884,7.9,
California,10019484,5119835,51.1,54,3828380,38.2,,697847,7.0,
Colorado,1510704,671152,44.4,,691848,45.8,8,99629,6.6,
Connecticut,1392614,735740,52.8,8,483109,34.7,,139523,10.0,
Delaware,270845,140355,51.8,3,99062,36.6,,28719,10.6,
Dist. of Col.,185726,158220,85.2,3,17339,9.3,,3611,1.9,
Florida,5303794,2546870,48.0,25,2244536,42.3,,483870,9.1,
Georgia,2299071,1053849,45.8,,1080843,47.0,13,146337,6.4,
Hawaii,360120,205012,56.9,4,113943,31.6,,27358,7.6,
Idaho,491719,165443,33.6,,256595,52.2,4,62518,12.7,
Illinois,4311391,2341744,54.3,22,1587021,36.8,,346408,8.0,
Indiana,2135431,887424,41.6,,1006693,47.1,12,224299,10.5,
Iowa,1234075,620258,50.3,7,492644,39.9,,105159,8.5,
Kansas,1074300,387659,36.1,,583245,54.3,6,92639,8.6,
Kentucky,1388708,636614,45.8,8,623283,44.9,,120396,8.7,
Louisiana,1783959,927837,52.0,9,712586,39.9,,123293,6.9,
Maine,605897,312788,51.6,4,186378,30.8,,85970,14.2,
Maryland,1780870,966207,54.3,10,681530,38.3,,115812,6.5,
Massachusetts,2556786,1571763,61.5,12,718107,28.1,,227217,8.9,
Michigan,3848844,1989653,51.7,18,1481212,38.5,,336670,8.7,
Minnesota,2192640,1120438,51.1,10,766476,35.0,,257704,11.8,
Mississippi,893857,394022,44.1,,439838,49.2,7,52222,5.8,
Missouri,2158065,1025935,47.5,11,890016,41.2,,217188,10.1,
Montana,407261,167922,41.3,,179652,44.1,3,55229,13.6,
Nebraska,677415,236761,35.0,,363467,53.7,5,71278,10.5,
Nevada,464279,203974,43.9,4,199244,42.9,,43986,9.5,
New Hampshire,499175,246214,49.3,4,196532,39.4,,48390,9.7,
New Jersey,3075807,1652329,53.7,15,1103078,35.9,,262134,8.5,
New Mexico,556074,273495,49.2,5,232751,41.9,,32257,5.8,
New York,6316129,3756177,59.5,33,1933492,30.6,,503458,8.0,
North Carolina,2515807,1107849,44.0,,1225938,48.7,14,168059,6.7,
North Dakota,266411,106905,40.1,,125050,46.9,3,32515,12.2,
Ohio,4534434,2148222,47.4,21,1859883,41.0,,483207,10.7,
Oklahoma,1206713,488105,40.4,,582315,48.3,8,130788,10.8,
Oregon,1377760,649641,47.2,7,538152,39.1,,121221,8.8,
Pennsylvania,4506118,2215819,49.2,23,1801169,40.0,,430984,9.6,
Rhode Island,390284,233050,59.7,4,104683,26.8,,43723,11.2,
South Carolina,1151689,506283,44.0,,573458,49.8,8,64386,5.6,
South Dakota,323826,139333,43.0,,150543,46.5,3,31250,9.7,
Tennessee,1894105,909146,48.0,11,863530,45.6,,105918,5.6,
Texas,5611644,2459683,43.8,,2736167,48.8,32,378537,6.7,
Utah,665629,221633,33.3,,361911,54.4,5,66461,10.0,
Vermont,258449,137894,53.4,3,80352,31.1,,31024,12.0,
Virginia,2416642,1091060,45.1,,1138350,47.1,13,159861,6.6,
Washington,2253837,1123323,49.8,11,840712,37.3,,201003,8.9,
West Virginia,636459,327812,51.5,5,233946,36.8,,71639,11.3,
Wisconsin,2196169,1071971,48.8,11,845029,38.5,,227339,10.4,
Wyoming,211571,77934,36.8,,105388,49.8,3,25928,12.3,
