STATE,TOTAL VOTES,Republican,Republican,Republican,Democratic,Democratic,Democratic,
STATE,TOTAL VOTES,WARREN G. HARDING,WARREN G. HARDING,WARREN G. HARDING,JAMES M. COX,JAMES M. COX,JAMES M. COX,
STATE,TOTAL VOTES,Votes,%,EV,Votes,%,EV,
,,,,,,,,
Alabama,233951,74719,31.9,,156064,66.7,12,
Arizona,66803,37016,55.4,3,29546,44.2,,
Arkansas,183637,71117,38.7,,107409,58.5,9,
California,943463,624992,66.2,13,229191,24.3,,
Colorado,292053,173248,59.3,6,104936,35.9,,
Connecticut,365518,229238,62.7,7,120721,33.0,,
Delaware,94875,52858,55.7,3,39911,42.1,,
Florida,145684,44853,30.8,,90515,62.1,6,
Georgia,149558,42981,28.7,,106112,71.0,14,
Idaho,138359,91351,66.0,4,46930,33.9,,
Illinois,2094714,1420480,67.8,29,534395,25.5,,
Indiana,1262974,696370,55.1,15,511364,40.5,,
Iowa,894959,634674,70.9,13,227804,25.5,,
Kansas,570243,369268,64.8,10,185464,32.5,,
Kentucky,918636,452480,49.3,,456497,49.7,13,
Louisiana,126397,38539,30.5,,87519,69.2,10,
Maine,197840,136355,68.9,6,58961,29.8,,
Maryland,428443,236117,55.1,8,180626,42.2,,
Massachusetts,993718,681153,68.5,18,276691,27.8,,
Michigan,1048411,762865,72.8,15,233450,22.3,,
Minnesota,735838,519421,70.6,12,142994,19.4,,
Mississippi,82351,11576,14.1,,69136,84.0,10,
Missouri,1332140,727252,54.6,18,574699,43.1,,
Montana,179006,109430,61.1,4,57372,32.1,,
Nebraska,382743,247498,64.7,8,119608,31.3,,
Nevada,27194,15479,56.9,3,9851,36.2,,
New Hampshire,159092,95196,59.8,4,62662,39.4,,
New Jersey,910251,615333,67.6,14,258761,28.4,,
New Mexico,105412,57634,54.7,3,46668,44.3,,
New York,2898513,1871167,64.6,45,781238,27.0,,
North Carolina,538649,232819,43.2,,305367,56.7,12,
North Dakota,205786,160082,77.8,5,37422,18.2,,
Ohio,2021653,1182022,58.5,24,780037,38.6,,
Oklahoma,485678,243840,50.2,10,216122,44.5,,
Oregon,238522,143592,60.2,5,80019,33.5,,
Pennsylvania,1851248,1218215,65.8,38,503202,27.2,,
Rhode Island,167981,107463,64.0,5,55062,32.8,,
South Carolina,66808,2610,3.9,,64170,96.1,9,
South Dakota,182237,110692,60.7,5,35938,19.7,,
Tennessee,428036,219229,51.2,12,206558,48.3,,
Texas,486109,114658,23.6,,287920,59.2,20,
Utah,145828,81555,55.9,4,56639,38.8,,
Vermont,89961,68212,75.8,4,20919,23.3,,
Virginia,231000,87456,37.9,,141670,61.3,12,
Washington,398715,223137,56.0,7,84298,21.1,,
West Virginia,509936,282007,55.3,8,220785,43.3,,
Wisconsin,701281,498576,71.1,13,113422,16.2,,
Wyoming,56253,35091,62.4,3,17429,31.0,
