STATE,TOTAL VOTES,Democratic,Democratic,Democratic,Republican,Republican,Republican,Various,Various,Various,
STATE,TOTAL VOTES,JOSEPH R. BIDEN,JOSEPH R. BIDEN,JOSEPH R. BIDEN,DONALD TRUMP,DONALD TRUMP,DONALD TRUMP,OTHERS,OTHERS,OTHERS,
STATE,TOTAL VOTES,Votes,%,EV,Votes,%,EV,Votes,%,EV,
,,,,,,,,,,
Alabama,2323282,849624,36.57%,,1441170,62.03%,9,32488,1.40%,
Alaska,359530,153778,42.77%,,189951,52.83%,3,15801,4.39%,
Arizona,3387326,1672143,49.36%,11,1661686,49.06%,,53497,1.58%,
Arkansas,1219069,423932,34.78%,,760647,62.40%,6,34490,2.83%,
California,17500881,11110250,63.48%,55,6006429,34.32%,,384202,2.20%,
Colorado,3256952,1804352,55.40%,9,1364607,41.90%,,87993,2.70%,
Connecticut,1824280,1080680,59.24%,7,715291,39.21%,,28309,1.55%,
Delaware,504010,296268,58.78%,3,200603,39.80%,,7139,1.42%,
District of Columbia,344356,317323,92.15%,3,18586,5.40%,,8447,2.45%,
Florida,11067456,5297045,47.86%,,5668731,51.22%,29,101680,0.92%,
Georgia,4997716,2473633,49.50%,16,2461854,49.26%,,62229,1.25%,
Hawaii,574469,366130,63.73%,4,196864,34.27%,,11475,2.00%,
Idaho,868014,287021,33.07%,,554119,63.84%,4,26874,3.10%,
Illinois,6033744,3471915,57.54%,20,2446891,40.55%,,114938,1.90%,
Indiana,3033121,1242416,40.96%,,1729519,57.02%,11,61186,2.02%,
Iowa,1690871,759061,44.89%,,897672,53.09%,6,34138,2.02%,
Kansas,1372303,570323,41.56%,,771406,56.21%,6,30574,2.23%,
Kentucky,2136768,772474,36.15%,,1326646,62.09%,8,37648,1.76%,
Louisiana,2148062,856034,39.85%,,1255776,58.46%,8,36252,1.69%,
Maine,819461,435072,53.09%,2,360737,44.02%,,23652,2.89%,
CD-1,443112,266376,60.11%,1,164045,37.02%,,12691,2.86%,
CD-2,376349,168696,44.82%,,196692,52.26%,1,10961,2.91%,
Maryland,3037030,1985023,65.36%,10,976414,32.15%,,75593,2.49%,
Massachusetts,3631403,2382202,65.60%,11,1167202,32.14%,,81999,2.26%,
Michigan,5539301,2804040,50.62%,16,2649852,47.84%,,85409,1.54%,
Minnesota,3277171,1717077,52.40%,10,1484065,45.28%,,76029,2.32%,
Mississippi,1313759,539398,41.06%,,756764,57.60%,6,17597,1.34%,
Missouri,3025962,1253014,41.41%,,1718736,56.80%,10,54212,1.79%,
Montana,603640,244786,40.55%,,343602,56.92%,3,15252,2.53%,
Nebraska,951712,374583,39.36%,,556846,58.51%,2,20283,2.13%,
CD-1,321886,132261,41.09%,,180290,56.01%,1,9335,2.90%,
CD-2,339666,176468,51.95%,1,154377,45.45%,,8821,2.60%,
CD-3,294831,65854,22.34%,,222179,75.36%,1,6798,2.31%,
Nevada,1405376,703486,50.06%,6,669890,47.67%,,32000,2.28%,
New Hampshire,806205,424937,52.71%,4,365660,45.36%,,15608,1.94%,
New Jersey,4549353,2608335,57.33%,14,1883274,41.40%,,57744,1.27%,
New Mexico,923965,501614,54.29%,5,401894,43.50%,,20457,2.21%,
New York,8594826,5230985,60.86%,29,3244798,37.75%,,119043,1.39%,
North Carolina,5524804,2684292,48.59%,,2758775,49.93%,15,81737,1.48%,
North Dakota,361819,114902,31.76%,,235595,65.11%,3,11322,3.13%,
Ohio,5922202,2679165,45.24%,,3154834,53.27%,18,88203,1.49%,
Oklahoma,1560699,503890,32.29%,,1020280,65.37%,7,36529,2.34%,
Oregon,2374321,1340383,56.45%,7,958448,40.37%,,75490,3.18%,
Pennsylvania,6915283,3458229,50.01%,20,3377674,48.84%,,79380,1.15%,
Rhode Island,517757,307486,59.39%,4,199922,38.61%,,10349,2.00%,
South Carolina,2513329,1091541,43.43%,,1385103,55.11%,9,36685,1.46%,
South Dakota,422609,150471,35.61%,,261043,61.77%,3,11095,2.63%,
Tennessee,3053851,1143711,37.45%,,1852475,60.66%,11,57665,1.89%,
Texas,11315056,5259126,46.48%,,5890347,52.06%,38,165583,1.46%,
Utah,1488289,560282,37.65%,,865140,58.13%,6,62867,4.22%,
Vermont,367428,242820,66.09%,3,112704,30.67%,,11904,3.24%,
Virginia,4460524,2413568,54.11%,13,1962430,44.00%,,84526,1.89%,
Washington,4087631,2369612,57.97%,12,1584651,38.77%,,133368,3.26%,
West Virginia,794652,235984,29.70%,,545382,68.63%,5,13286,1.67%,
Wisconsin,3298041,1630866,49.45%,10,1610184,48.82%,,56991,1.73%,
Wyoming,276765,73491,26.55%,,193559,69.94%,3,9715,3.51%,
