state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,1688060,690080,40.9,,804283,47.6,9,1992
Alaska,258506,78294,30.3,,102000,39.5,3,1992
Arizona,1486975,543050,36.5,,572086,38.5,8,1992
Arkansas,950653,505823,53.2,6,337324,35.5,,1992
California,11131721,5121325,46.0,54,3630574,32.6,,1992
Colorado,1569180,629681,40.1,8,562850,35.9,,1992
Connecticut,1616332,682318,42.2,8,578313,35.8,,1992
Delaware,289735,126054,43.5,3,102313,35.3,,1992
Dist. of Col.,227572,192619,84.6,3,20698,9.1,,1992
Florida,5314392,2072698,39.0,,2173310,40.9,25,1992
Georgia,2321125,1008966,43.5,13,995252,42.9,,1992
Hawaii,372842,179310,48.1,4,136822,36.7,,1992
Idaho,482142,137013,28.4,,202645,42.0,4,1992
Illinois,5050157,2453350,48.6,22,1734096,34.3,,1992
Indiana,2305871,848420,36.8,,989375,42.9,12,1992
Iowa,1354607,586353,43.3,7,504891,37.3,,1992
Kansas,1157335,390434,33.7,,449951,38.9,6,1992
Kentucky,1492900,665104,44.6,8,617178,41.3,,1992
Louisiana,1790017,815971,45.6,9,733386,41.0,,1992
Maine,679499,263420,38.8,4,206504,30.4,,1992
Maryland,1985046,988571,49.8,10,707094,35.6,,1992
Massachusetts,2773700,1318662,47.5,12,805049,29.0,,1992
Michigan,4274673,1871182,43.8,18,1554940,36.4,,1992
Minnesota,2347948,1020997,43.5,10,747841,31.9,,1992
Mississippi,981793,400258,40.8,,487793,49.7,7,1992
Missouri,2391565,1053873,44.1,11,811159,33.9,,1992
Montana,410611,154507,37.6,3,144207,35.1,,1992
Nebraska,737546,216864,29.4,,343678,46.6,5,1992
Nevada,506318,189148,37.4,4,175828,34.7,,1992
New Hampshire,537943,209040,38.9,4,202484,37.6,,1992
New Jersey,3343594,1436206,43.0,15,1356865,40.6,,1992
New Mexico,569986,261617,45.9,5,212824,37.3,,1992
New York,6926925,3444450,49.7,33,2346649,33.9,,1992
North Carolina,2611850,1114042,42.7,,1134661,43.4,14,1992
North Dakota,308133,99168,32.2,,136244,44.2,3,1992
Ohio,4939967,1984942,40.2,21,1894310,38.3,,1992
Oklahoma,1390359,473066,34.0,,592929,42.6,8,1992
Oregon,1462643,621314,42.5,7,475757,32.5,,1992
Pennsylvania,4959810,2239164,45.1,23,1791841,36.1,,1992
Rhode Island,453477,213299,47.0,4,131601,29.0,,1992
South Carolina,1202527,479514,39.9,,577507,48.0,8,1992
South Dakota,336254,124888,37.1,,136718,40.7,3,1992
Tennessee,1982638,933521,47.1,11,841300,42.4,,1992
Texas,6154018,2281815,37.1,,2496071,40.6,32,1992
Utah,743999,183429,24.7,,322632,43.4,5,1992
Vermont,289701,133592,46.1,3,88122,30.4,,1992
Virginia,2558665,1038650,40.6,,1150517,45.0,13,1992
Washington,2288230,993037,43.4,11,731234,32.0,,1992
West Virginia,683762,331001,48.4,5,241974,35.4,,1992
Wisconsin,2531114,1041066,41.1,11,930855,36.8,,1992
Wyoming,200598,68160,34.0,,79347,39.6,3,1992
