state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,2099819,813479,38.7,,1266546,60.3,9,2008
Alaska,326197,123594,37.9,,193841,59.4,3,2008
Arizona,2293475,1034707,45.1,,1230111,53.6,10,2008
Arkansas,1086617,422310,38.9,,638017,58.7,6,2008
California,13561900,8274473,61.0,55,5011781,37.0,,2008
Colorado,2401361,1288576,53.7,9,1073589,44.7,,2008
Connecticut,1646792,997772,60.6,7,629428,38.2,,2008
Delaware,412412,255459,61.9,3,152374,36.9,,2008
Dist. of Col.,265853,245800,92.5,3,17367,6.5,,2008
Florida,8390744,4282074,51.0,27,4045624,48.2,,2008
Georgia,3924440,1844137,47.0,,2048744,52.2,15,2008
Hawaii,453568,325871,71.8,4,120566,26.6,,2008
Idaho,655032,236440,36.1,,403012,61.5,4,2008
Illinois,5523051,3419673,61.9,21,2031527,36.8,,2008
Indiana,2751054,1374039,49.9,11,1345648,48.9,,2008
Iowa,1543662,828940,53.7,7,682379,44.2,,2008
Kansas,1235872,514765,41.7,,699655,56.6,6,2008
Kentucky,1826508,751985,41.2,,1048462,57.4,8,2008
Louisiana,1960761,782989,39.9,,1148275,58.6,9,2008
Maine,731163,421923,57.7,4,295273,40.4,,2008
Maryland,2631596,1629467,61.9,10,959862,36.5,,2008
Massachusetts,3080985,1904097,61.8,12,1108854,36.0,,2008
Michigan,5001766,2872579,57.4,17,2048639,41.0,,2008
Minnesota,2910369,1573354,54.1,10,1275409,43.8,,2008
Mississippi,1289865,554662,43.0,,724597,56.2,6,2008
Missouri,2925205,1441911,49.3,,1445814,49.4,11,2008
Montana,490109,231667,47.3,,242763,49.5,3,2008
Nebraska,801281,333319,41.6,1*,452979,56.5,4*,2008
Nevada,967848,533736,55.1,5,412827,42.7,,2008
New Hampshire,707611,384826,54.4,4,316534,44.7,,2008
New Jersey,3868237,2215422,57.3,15,1613207,41.7,,2008
New Mexico,830158,472422,56.9,5,346832,41.8,,2008
New York,7591233,4769700,62.8,31,2742298,36.1,,2008
North Carolina,4310789,2142651,49.7,15,2128474,49.4,,2008
North Dakota,316621,141278,44.6,,168601,53.3,3,2008
Ohio,5698260,2933388,51.5,20,2674491,46.9,,2008
Oklahoma,1462661,502496,34.4,,960165,65.6,7,2008
Oregon,1827864,1037291,56.7,7,738475,40.4,,2008
Pennsylvania,6034745,3276363,54.3,21,2655885,44.0,,2008
Rhode Island,469767,296571,63.1,4,165391,35.2,,2008
South Carolina,1920969,862449,44.9,,1034896,53.9,8,2008
South Dakota,381975,170924,44.7,,203054,53.2,3,2008
Tennessee,2599749,1087437,41.8,,1479178,56.9,11,2008
Texas,8077795,3528633,43.7,,4479328,55.5,34,2008
Utah,952370,327670,34.4,,596030,62.6,5,2008
Vermont,325046,219262,67.5,3,98974,30.4,,2008
Virginia,3723260,1959532,52.6,13,1725005,46.3,,2008
Washington,3036878,1750848,57.7,11,1229216,40.5,,2008
West Virginia,713362,303857,42.6,,397466,55.7,5,2008
Wisconsin,2983417,1677211,56.2,10,1262393,42.3,,2008
Wyoming,256035,82868,32.4,,164958,64.4,3,2008
