state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,1441713,551899,38.3,,872849,60.5,9,1984
Alaska,207605,62007,29.9,,138377,66.7,3,1984
Arizona,1025897,333854,32.5,,681416,66.4,7,1984
Arkansas,884406,338646,38.3,,534774,60.5,6,1984
California,9505423,3922519,41.3,,5467009,57.5,47,1984
Colorado,1295380,454975,35.1,,821817,63.4,8,1984
Connecticut,1466900,569597,38.8,,890877,60.7,8,1984
Delaware,254572,101656,39.9,,152190,59.8,3,1984
Dist. of Col.,211288,180408,85.4,3,29009,13.7,,1984
Florida,4180051,1448816,34.7,,2730350,65.3,21,1984
Georgia,1776120,706628,39.8,,1068722,60.2,12,1984
Hawaii,335846,147154,43.8,,185050,55.1,4,1984
Idaho,411144,108510,26.4,,297523,72.4,4,1984
Illinois,4819088,2086499,43.3,,2707103,56.2,24,1984
Indiana,2233069,841481,37.7,,1377230,61.7,12,1984
Iowa,1319805,605620,45.9,,703088,53.3,8,1984
Kansas,1021991,333149,32.6,,677296,66.3,7,1984
Kentucky,1369345,539539,39.4,,821702,60.0,9,1984
Louisiana,1706822,651586,38.2,,1037299,60.8,10,1984
Maine,553144,214515,38.8,,336500,60.8,4,1984
Maryland,1675873,787935,47.0,,879918,52.5,10,1984
Massachusetts,2559453,1239606,48.4,,1310936,51.2,13,1984
Michigan,3801658,1529638,40.2,,2251571,59.2,20,1984
Minnesota,2084449,1036364,49.7,10,1032603,49.5,,1984
Mississippi,941104,352192,37.4,,582377,61.9,7,1984
Missouri,2122783,848583,40.0,,1274188,60.0,11,1984
Montana,384377,146742,38.2,,232450,60.5,4,1984
Nebraska,652090,187866,28.8,,460054,70.6,5,1984
Nevada,286667,91655,32.0,,188770,65.8,4,1984
New Hampshire,389066,120395,30.9,,267051,68.6,4,1984
New Jersey,3217862,1261323,39.2,,1933630,60.1,16,1984
New Mexico,514370,201769,39.2,,307101,59.7,5,1984
New York,6806810,3119609,45.8,,3664763,53.8,36,1984
North Carolina,2175361,824287,37.9,,1346481,61.9,13,1984
North Dakota,308971,104429,33.8,,200336,64.8,3,1984
Ohio,4547619,1825440,40.1,,2678560,58.9,23,1984
Oklahoma,1255676,385080,30.7,,861530,68.6,8,1984
Oregon,1226527,536479,43.7,,685700,55.9,7,1984
Pennsylvania,4844903,2228131,46.0,,2584323,53.3,25,1984
Rhode Island,410492,197106,48.0,,212080,51.7,4,1984
South Carolina,968529,344459,35.6,,615539,63.6,8,1984
South Dakota,317867,116113,36.5,,200267,63.0,3,1984
Tennessee,1711994,711714,41.6,,990212,57.8,11,1984
Texas,5397571,1949276,36.1,,3433428,63.6,29,1984
Utah,629656,155369,24.7,,469105,74.5,5,1984
Vermont,234561,95730,40.8,,135865,57.9,3,1984
Virginia,2146635,796250,37.1,,1337078,62.3,12,1984
Washington,1883910,807352,42.9,,1051670,55.8,10,1984
West Virginia,735742,328125,44.6,,405483,55.1,6,1984
Wisconsin,2211689,995740,45.0,,1198584,54.2,11,1984
Wyoming,188968,53370,28.2,,133241,70.5,3,1984
