state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,233951,156064,66.7,12,74719,31.9,,1920
Arizona,66803,29546,44.2,,37016,55.4,3,1920
Arkansas,183637,107409,58.5,9,71117,38.7,,1920
California,943463,229191,24.3,,624992,66.2,13,1920
Colorado,292053,104936,35.9,,173248,59.3,6,1920
Connecticut,365518,120721,33.0,,229238,62.7,7,1920
Delaware,94875,39911,42.1,,52858,55.7,3,1920
Florida,145684,90515,62.1,6,44853,30.8,,1920
Georgia,149558,106112,71.0,14,42981,28.7,,1920
Idaho,138359,46930,33.9,,91351,66.0,4,1920
Illinois,2094714,534395,25.5,,1420480,67.8,29,1920
Indiana,1262974,511364,40.5,,696370,55.1,15,1920
Iowa,894959,227804,25.5,,634674,70.9,13,1920
Kansas,570243,185464,32.5,,369268,64.8,10,1920
Kentucky,918636,456497,49.7,13,452480,49.3,,1920
Louisiana,126397,87519,69.2,10,38539,30.5,,1920
Maine,197840,58961,29.8,,136355,68.9,6,1920
Maryland,428443,180626,42.2,,236117,55.1,8,1920
Massachusetts,993718,276691,27.8,,681153,68.5,18,1920
Michigan,1048411,233450,22.3,,762865,72.8,15,1920
Minnesota,735838,142994,19.4,,519421,70.6,12,1920
Mississippi,82351,69136,84.0,10,11576,14.1,,1920
Missouri,1332140,574699,43.1,,727252,54.6,18,1920
Montana,179006,57372,32.1,,109430,61.1,4,1920
Nebraska,382743,119608,31.3,,247498,64.7,8,1920
Nevada,27194,9851,36.2,,15479,56.9,3,1920
New Hampshire,159092,62662,39.4,,95196,59.8,4,1920
New Jersey,910251,258761,28.4,,615333,67.6,14,1920
New Mexico,105412,46668,44.3,,57634,54.7,3,1920
New York,2898513,781238,27.0,,1871167,64.6,45,1920
North Carolina,538649,305367,56.7,12,232819,43.2,,1920
North Dakota,205786,37422,18.2,,160082,77.8,5,1920
Ohio,2021653,780037,38.6,,1182022,58.5,24,1920
Oklahoma,485678,216122,44.5,,243840,50.2,10,1920
Oregon,238522,80019,33.5,,143592,60.2,5,1920
Pennsylvania,1851248,503202,27.2,,1218215,65.8,38,1920
Rhode Island,167981,55062,32.8,,107463,64.0,5,1920
South Carolina,66808,64170,96.1,9,2610,3.9,,1920
South Dakota,182237,35938,19.7,,110692,60.7,5,1920
Tennessee,428036,206558,48.3,,219229,51.2,12,1920
Texas,486109,287920,59.2,20,114658,23.6,,1920
Utah,145828,56639,38.8,,81555,55.9,4,1920
Vermont,89961,20919,23.3,,68212,75.8,4,1920
Virginia,231000,141670,61.3,12,87456,37.9,,1920
Washington,398715,84298,21.1,,223137,56.0,7,1920
West Virginia,509936,220785,43.3,,282007,55.3,8,1920
Wisconsin,701281,113422,16.2,,498576,71.1,13,1920
Wyoming,56253,17429,31.0,,35091,62.4,3,1920
