state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,1883449,693933,36.8,,1176394,62.5,9,2004
Alaska,312598,111025,35.5,,190889,61.1,3,2004
Arizona,2012585,893524,44.4,,1104294,54.9,10,2004
Arkansas,1054945,469953,44.5,,572898,54.3,6,2004
California,12421852,6745485,54.3,55,5509826,44.4,,2004
Colorado,2130330,1001732,47.0,,1101255,51.7,9,2004
Connecticut,1578769,857488,54.3,7,693826,43.9,,2004
Delaware,375190,200152,53.3,3,171660,45.8,,2004
Dist. of Col.,227586,202970,89.2,3,21256,9.3,,2004
Florida,7609810,3583544,47.1,,3964522,52.1,27,2004
Georgia,3301875,1366149,41.4,,1914254,58.0,15,2004
Hawaii,429013,231708,54.0,4,194191,45.3,,2004
Idaho,598447,181098,30.3,,409235,68.4,4,2004
Illinois,5274322,2891550,54.8,21,2345946,44.5,,2004
Indiana,2468002,969011,39.3,,1479438,59.9,11,2004
Iowa,1506908,741898,49.2,,751957,49.9,7,2004
Kansas,1187756,434993,36.6,,736456,62.0,6,2004
Kentucky,1795882,712733,39.7,,1069439,59.5,8,2004
Louisiana,1943106,820299,42.2,,1102169,56.7,9,2004
Maine,740752,396842,53.6,4,330201,44.6,,2004
Maryland,2386678,1334493,55.9,10,1024703,42.9,,2004
Massachusetts,2912388,1803800,61.9,12,1071109,36.8,,2004
Michigan,4839252,2479183,51.2,17,2313746,47.8,,2004
Minnesota*,2828387,1445014,51.1,9*,1346695,47.6,,2004
Mississippi,1152145,458094,39.8,,684981,59.5,6,2004
Missouri,2731364,1259171,46.1,,1455713,53.3,11,2004
Montana,450445,173710,38.6,,266063,59.1,3,2004
Nebraska,778186,254328,32.7,,512814,65.9,5,2004
Nevada,829587,397190,47.9,,418690,50.5,5,2004
New Hampshire,677738,340511,50.2,4,331237,48.9,,2004
New Jersey,3611691,1911430,52.9,15,1670003,46.2,,2004
New Mexico,756304,370942,49.0,,376930,49.8,5,2004
New York,7391036,4314280,58.4,31,2962567,40.1,,2004
North Carolina,3501007,1525849,43.6,,1961166,56.0,15,2004
North Dakota,312833,111052,35.5,,196651,62.9,3,2004
Ohio,5627908,2741167,48.7,,2859768,50.8,20,2004
Oklahoma,1463758,503966,34.4,,959792,65.6,7,2004
Oregon,1836782,943163,51.3,7,866831,47.2,,2004
Pennsylvania,5769590,2938095,50.9,21,2793847,48.4,,2004
Rhode Island,437134,259765,59.4,4,169046,38.7,,2004
South Carolina,1617730,661699,40.9,,937974,58.0,8,2004
South Dakota,388215,149244,38.4,,232584,59.9,3,2004
Tennessee,2437319,1036477,42.5,,1384375,56.8,11,2004
Texas,7410765,2832704,38.2,,4526917,61.1,34,2004
Utah,927844,241199,26.0,,663742,71.5,5,2004
Vermont,312309,184067,58.9,3,121180,38.8,,2004
Virginia,3198367,1454742,45.5,,1716959,53.7,13,2004
Washington,2859084,1510201,52.8,11,1304894,45.6,,2004
West Virginia,755887,326541,43.2,,423778,56.1,5,2004
Wisconsin,2997007,1489504,49.7,10,1478120,49.3,,2004
Wyoming,243428,70776,29.1,,167629,68.9,3,2004
