state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,2265090,772412,34.1,,1462616,64.57,9,2024
Alaska,338177,140026,41.41,,184458,54.54,3,2024
Arizona,3390161,1582860,46.69,,1770242,52.22,11,2024
Arkansas,1182676,396905,33.56,,759241,64.2,6,2024
California,15865475,9276179,58.47,54,6081697,38.33,,2024
Colorado,3192745,1728159,54.13,10,1377441,43.14,,2024
Connecticut,1759010,992053,56.4,7,736918,41.89,,2024
Delaware,511697,289758,56.63,3,214351,41.89,,2024
District of Columbia,325869,294185,90.28,3,21076,6.47,,2024
Florida,10893752,4683038,42.99,,6110125,56.09,30,2024
Georgia,5250047,2548017,48.53,,2663117,50.73,16,2024
Hawaii,516701,313044,60.59,4,193661,37.48,,2024
Idaho,904812,274972,30.39,,605246,66.89,4,2024
Illinois,5633310,3062863,54.37,19,2449079,43.47,,2024
Indiana,2936677,1163603,39.62,,1720347,58.58,11,2024
Iowa,1663506,707278,42.52,,927019,55.73,6,2024
Kansas,1327591,544853,41.04,,758802,57.16,6,2024
Kentucky,2074530,704043,33.94,,1337494,64.47,8,2024
Louisiana,2006975,766870,38.21,,1208505,60.22,8,2024
Maine,830794,435652,52.44,2,377977,45.5,,2024
CD-1,433356,258863,59.73,1,165214,38.12,,2024
CD-2,397438,176789,44.48,,212763,53.53,1,2024
Maryland,3038334,1902577,62.62,10,1035550,34.08,,2024
Massachusetts,3473668,2126518,61.22,11,1251303,36.02,,2024
Michigan,5664186,2736533,48.31,,2816636,49.73,15,2024
Minnesota,3253920,1656979,50.92,10,1519032,46.68,,2024
Mississippi,1228008,466668,38.0,,747744,60.89,6,2024
Missouri,2995327,1200599,40.08,,1751986,58.49,10,2024
Montana,602963,231906,38.46,,352079,58.39,4,2024
Nebraska,947159,369995,39.06,,564816,59.63,2,2024
CD-1,318304,136153,42.77,,177666,55.82,1,2024
CD-2,316690,163541,51.64,1,148905,47.02,,2024
CD-3,312165,70301,22.52,,238245,76.32,1,2024
Nevada,1484840,705197,47.49,,751205,50.59,6,2024
New Hampshire,826189,418488,50.65,4,395523,47.87,,2024
New Jersey,4272725,2220713,51.97,14,1968215,46.06,,2024
New Mexico,923403,478802,51.85,5,423391,45.85,,2024
New York,8262495,4619195,55.91,28,3578899,43.31,,2024
North Carolina,5699141,2715375,47.65,,2898423,50.86,16,2024
North Dakota,368155,112327,30.51,,246505,66.96,3,2024
Ohio,5767788,2533699,43.93,,3180116,55.14,17,2024
Oklahoma,1566173,499599,31.9,,1036213,66.16,7,2024
Oregon,2244493,1240600,55.27,8,919480,40.97,,2024
Pennsylvania,7034206,3423042,48.66,,3543308,50.37,19,2024
Rhode Island,513386,285156,55.54,4,214406,41.76,,2024
South Carolina,2548140,1028452,40.36,,1483747,58.23,9,2024
South Dakota,428922,146859,34.24,,272081,63.43,3,2024
Tennessee,3063942,1056265,34.47,,1966865,64.19,11,2024
Texas,11388674,4835250,42.46,,6393597,56.14,40,2024
Utah,1488494,562566,37.79,,883818,59.38,6,2024
Vermont,369422,235791,63.83,3,119395,32.32,,2024
Virginia,4505941,2335395,51.83,13,2075085,46.05,,2024
Washington,3924243,2245849,57.23,12,1530923,39.01,,2024
West Virginia,762390,214309,28.11,,533556,69.98,4,2024
Wisconsin,3415787,1668229,48.84,,1697626,49.7,10,2024
Wyoming,269048,69527,25.84,,192633,71.6,3,2024
