state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,1006111,256923,25.5,,728701,72.4,9,1972
Alaska,95219,32967,34.6,,55349,58.1,3,1972
Arizona,622926,198540,31.9,,402812,64.7,6,1972
Arkansas,651320,199892,30.7,,448541,68.9,6,1972
California,8367862,3475847,41.5,,4602096,55.0,45,1972
Colorado,953884,329980,34.6,,597189,62.6,7,1972
Connecticut,1384277,555498,40.1,,810763,58.6,8,1972
Delaware,235516,92283,39.2,,140357,59.6,3,1972
Dist. of Col.,163421,127627,78.1,3,35226,21.6,,1972
Florida,2583283,718117,27.8,,1857759,71.9,17,1972
Georgia,1174772,289529,24.6,,881496,75.0,12,1972
Hawaii,270274,101409,37.5,,168865,62.5,4,1972
Idaho,310379,80826,26.0,,199384,64.2,4,1972
Illinois,4723236,1913472,40.5,,2788179,59.0,26,1972
Indiana,2125529,708568,33.3,,1405154,66.1,13,1972
Iowa,1225944,496206,40.5,,706207,57.6,8,1972
Kansas,916095,270287,29.5,,619812,67.7,7,1972
Kentucky,1067499,371159,34.8,,676446,63.4,9,1972
Louisiana,1051491,298142,28.4,,686852,65.3,10,1972
Maine,417042,160584,38.5,,256458,61.5,4,1972
Maryland,1353812,505781,37.4,,829305,61.3,10,1972
Massachusetts,2458756,1332540,54.2,14,1112078,45.2,,1972
Michigan,3489727,1459435,41.8,,1961721,56.2,21,1972
Minnesota,1741652,802346,46.1,,898269,51.6,10,1972
Mississippi,645963,126782,19.6,,505125,78.2,7,1972
Missouri,1855803,697147,37.6,,1153852,62.2,12,1972
Montana,317603,120197,37.8,,183976,57.9,4,1972
Nebraska,576289,169991,29.5,,406298,70.5,5,1972
Nevada,181766,66016,36.3,,115750,63.7,3,1972
New Hampshire,334055,116435,34.9,,213724,64.0,4,1972
New Jersey,2997229,1102211,36.8,,1845502,61.6,17,1972
New Mexico,386241,141084,36.5,,235606,61.0,4,1972
New York,7165919,2951084,41.2,,4192778,58.5,41,1972
North Carolina,1518612,438705,28.9,,1054889,69.5,13,1972
North Dakota,280514,100384,35.8,,174109,62.1,3,1972
Ohio,4094787,1558889,38.1,,2441827,59.6,25,1972
Oklahoma,1029900,247147,24.0,,759025,73.7,8,1972
Oregon,927946,392760,42.3,,486686,52.4,6,1972
Pennsylvania,4592106,1796951,39.1,,2714521,59.1,27,1972
Rhode Island,415808,194645,46.8,,220383,53.0,4,1972
South Carolina,673960,186824,27.7,,477044,70.8,8,1972
South Dakota,307415,139945,45.5,,166476,54.2,4,1972
Tennessee,1201182,357293,29.7,,813147,67.7,10,1972
Texas,3471281,1154289,33.3,,2298896,66.2,26,1972
Utah,478476,126284,26.4,,323643,67.6,4,1972
Vermont,186947,68174,36.5,,117149,62.7,3,1972
Virginia*,1457019,438887,30.1,,988493,67.8,11*,1972
Washington,1470847,568334,38.6,,837135,56.9,9,1972
West Virginia,762399,277435,36.4,,484964,63.6,6,1972
Wisconsin,1852890,810174,43.7,,989430,53.4,11,1972
Wyoming,145570,44358,30.5,,100464,69.0,3,1972
