state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,2323282,849624,36.57,,1441170,62.03,9,2020
Alaska,359530,153778,42.77,,189951,52.83,3,2020
Arizona,3387326,1672143,49.36,11,1661686,49.06,,2020
Arkansas,1219069,423932,34.78,,760647,62.4,6,2020
California,17500881,11110250,63.48,55,6006429,34.32,,2020
Colorado,3256952,1804352,55.4,9,1364607,41.9,,2020
Connecticut,1824280,1080680,59.24,7,715291,39.21,,2020
Delaware,504010,296268,58.78,3,200603,39.8,,2020
District of Columbia,344356,317323,92.15,3,18586,5.4,,2020
Florida,11067456,5297045,47.86,,5668731,51.22,29,2020
Georgia,4997716,2473633,49.5,16,2461854,49.26,,2020
Hawaii,574469,366130,63.73,4,196864,34.27,,2020
Idaho,868014,287021,33.07,,554119,63.84,4,2020
Illinois,6033744,3471915,57.54,20,2446891,40.55,,2020
Indiana,3033121,1242416,40.96,,1729519,57.02,11,2020
Iowa,1690871,759061,44.89,,897672,53.09,6,2020
Kansas,1372303,570323,41.56,,771406,56.21,6,2020
Kentucky,2136768,772474,36.15,,1326646,62.09,8,2020
Louisiana,2148062,856034,39.85,,1255776,58.46,8,2020
Maine,819461,435072,53.09,2,360737,44.02,,2020
CD-1,443112,266376,60.11,1,164045,37.02,,2020
CD-2,376349,168696,44.82,,196692,52.26,1,2020
Maryland,3037030,1985023,65.36,10,976414,32.15,,2020
Massachusetts,3631403,2382202,65.6,11,1167202,32.14,,2020
Michigan,5539301,2804040,50.62,16,2649852,47.84,,2020
Minnesota,3277171,1717077,52.4,10,1484065,45.28,,2020
Mississippi,1313759,539398,41.06,,756764,57.6,6,2020
Missouri,3025962,1253014,41.41,,1718736,56.8,10,2020
Montana,603640,244786,40.55,,343602,56.92,3,2020
Nebraska,951712,374583,39.36,,556846,58.51,2,2020
CD-1,321886,132261,41.09,,180290,56.01,1,2020
CD-2,339666,176468,51.95,1,154377,45.45,,2020
CD-3,294831,65854,22.34,,222179,75.36,1,2020
Nevada,1405376,703486,50.06,6,669890,47.67,,2020
New Hampshire,806205,424937,52.71,4,365660,45.36,,2020
New Jersey,4549353,2608335,57.33,14,1883274,41.4,,2020
New Mexico,923965,501614,54.29,5,401894,43.5,,2020
New York,8594826,5230985,60.86,29,3244798,37.75,,2020
North Carolina,5524804,2684292,48.59,,2758775,49.93,15,2020
North Dakota,361819,114902,31.76,,235595,65.11,3,2020
Ohio,5922202,2679165,45.24,,3154834,53.27,18,2020
Oklahoma,1560699,503890,32.29,,1020280,65.37,7,2020
Oregon,2374321,1340383,56.45,7,958448,40.37,,2020
Pennsylvania,6915283,3458229,50.01,20,3377674,48.84,,2020
Rhode Island,517757,307486,59.39,4,199922,38.61,,2020
South Carolina,2513329,1091541,43.43,,1385103,55.11,9,2020
South Dakota,422609,150471,35.61,,261043,61.77,3,2020
Tennessee,3053851,1143711,37.45,,1852475,60.66,11,2020
Texas,11315056,5259126,46.48,,5890347,52.06,38,2020
Utah,1488289,560282,37.65,,865140,58.13,6,2020
Vermont,367428,242820,66.09,3,112704,30.67,,2020
Virginia,4460524,2413568,54.11,13,1962430,44.0,,2020
Washington,4087631,2369612,57.97,12,1584651,38.77,,2020
West Virginia,794652,235984,29.7,,545382,68.63,5,2020
Wisconsin,3298041,1630866,49.45,10,1610184,48.82,,2020
Wyoming,276765,73491,26.55,,193559,69.94,3,2020
