state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,166593,112966,67.8,12,45005,27.0,,1924
Arizona,73961,26235,35.5,,30516,41.3,3,1924
Arkansas,138540,84790,61.2,9,40583,29.3,,1924
California,1281778,105514,8.2,,733250,57.2,13,1924
Colorado,342261,75238,22.0,,195171,57.0,6,1924
Connecticut,400396,110184,27.5,,246322,61.5,7,1924
Delaware,90885,33445,36.8,,52441,57.7,3,1924
Florida,109158,62083,56.9,6,30633,28.1,,1924
Georgia,166635,123262,74.0,14,30300,18.2,,1924
Idaho,147690,23951,16.2,,69791,47.3,4,1924
Illinois,2470067,576975,23.4,,1453321,58.8,29,1924
Indiana,1272390,492245,38.7,,703042,55.3,15,1924
Iowa,976770,160382,16.4,,537458,55.0,13,1924
Kansas,662456,156320,23.6,,407671,61.5,10,1924
Kentucky,816070,375593,46.0,,398966,48.9,13,1924
Louisiana,121951,93218,76.4,10,24670,20.2,,1924
Maine,192192,41964,21.8,,138440,72.0,6,1924
Maryland,358630,148072,41.3,,162414,45.3,8,1924
Massachusetts,1129837,280831,24.9,,703476,62.3,18,1924
Michigan,1160419,152359,13.1,,874631,75.4,15,1924
Minnesota,822146,55913,6.8,,420759,51.2,12,1924
Mississippi,112442,100474,89.4,10,8494,7.6,,1924
Missouri,1310095,574962,43.9,,648488,49.5,18,1924
Montana,174425,33805,19.4,,74138,42.5,4,1924
Nebraska,463559,137299,29.6,,218985,47.2,8,1924
Nevada,26921,5909,21.9,,11243,41.8,3,1924
New Hampshire,164769,57201,34.7,,98575,59.8,4,1924
New Jersey,1088054,298043,27.4,,676277,62.2,14,1924
New Mexico,112830,48542,43.0,,54745,48.5,3,1924
New York,3263939,950796,29.1,,1820058,55.8,45,1924
North Carolina,481608,284190,59.0,12,190754,39.6,,1924
North Dakota,199081,13858,7.0,,94931,47.7,5,1924
Ohio,2016296,477887,23.7,,1176130,58.3,24,1924
Oklahoma,527928,255798,48.4,10,225755,42.8,,1924
Oregon,279488,67589,24.2,,142579,51.0,5,1924
Pennsylvania,2144850,409192,19.1,,1401481,65.3,38,1924
Rhode Island,210115,76606,36.5,,125286,59.6,5,1924
South Carolina,50755,49008,96.6,9,1123,2.2,,1924
South Dakota,203868,27214,13.3,,101299,49.7,5,1924
Tennessee,301030,159339,52.9,12,130831,43.5,,1924
Texas,657054,483381,73.6,20,130794,19.9,,1924
Utah,156990,47001,29.9,,77327,49.3,4,1924
Vermont,102917,16124,15.7,,80498,78.2,4,1924
Virginia,223603,139717,62.5,12,73328,32.8,,1924
Washington,421549,42842,10.2,,220224,52.2,7,1924
West Virginia,583662,257232,44.1,,288635,49.5,8,1924
Wisconsin,840827,68115,8.1,,311614,37.1,,1924
Wyoming,79900,12868,16.1,,41858,52.4,3,1924
