state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama*,496861,280844,56.5,10*,195694,39.4,,1956
Arizona,290173,112880,38.9,,176990,61.0,4,1956
Arkansas,406572,213277,52.5,8,186287,45.8,,1956
California,5466355,2420135,44.3,,3027668,55.4,32,1956
Colorado,657074,257997,39.3,,394479,60.0,6,1956
Connecticut,1117121,405079,36.3,,711837,63.7,8,1956
Delaware,177988,79421,44.6,,98057,55.1,3,1956
Florida,1125762,480371,42.7,,643849,57.2,10,1956
Georgia,669655,444688,66.4,12,222778,33.3,,1956
Idaho,272989,105868,38.8,,166979,61.2,4,1956
Illinois,4407407,1775682,40.3,,2623327,59.5,27,1956
Indiana,1974607,783908,39.7,,1182811,59.9,13,1956
Iowa,1234564,501858,40.7,,729187,59.1,10,1956
Kansas,866243,296317,34.2,,566878,65.4,8,1956
Kentucky,1053805,476453,45.2,,572192,54.3,10,1956
Louisiana,617544,243977,39.5,,329047,53.3,10,1956
Maine,351706,102468,29.1,,249238,70.9,5,1956
Maryland,932827,372613,39.9,,559738,60.0,9,1956
Massachusetts,2348506,948190,40.4,,1393197,59.3,16,1956
Michigan,3080468,1359898,44.1,,1713647,55.6,20,1956
Minnesota,1340005,617525,46.1,,719302,53.7,11,1956
Mississippi,248104,144453,58.2,8,60685,24.5,,1956
Missouri,1832562,918273,50.1,13,914289,49.9,,1956
Montana,271171,116238,42.9,,154933,57.1,4,1956
Nebraska,577137,199029,34.5,,378108,65.5,6,1956
Nevada,96689,40640,42.0,,56049,58.0,3,1956
New Hampshire,266994,90364,33.8,,176519,66.1,4,1956
New Jersey,2484312,850337,34.2,,1606942,64.7,16,1956
New Mexico,253926,106098,41.8,,146788,57.8,4,1956
New York,7095971,2747944,38.7,,4345506,61.2,45,1956
North Carolina,1165592,590530,50.7,14,575062,49.3,,1956
North Dakota,253991,96742,38.1,,156766,61.7,4,1956
Ohio,3702265,1439655,38.9,,2262610,61.1,25,1956
Oklahoma,859350,385581,44.9,,473769,55.1,8,1956
Oregon,736132,329204,44.7,,406393,55.2,6,1956
Pennsylvania,4576503,1981769,43.3,,2585252,56.5,32,1956
Rhode Island,387609,161790,41.7,,225819,58.3,4,1956
South Carolina,300583,136372,45.4,8,75700,25.2,,1956
South Dakota,293857,122288,41.6,,171569,58.4,4,1956
Tennessee,939404,456507,48.6,,462288,49.2,11,1956
Texas,1955168,859958,44.0,,1080619,55.3,24,1956
Utah,333995,118364,35.4,,215631,64.6,4,1956
Vermont,152978,42549,27.8,,110390,72.2,3,1956
Virginia,697978,267760,38.4,,386459,55.4,12,1956
Washington,1150889,523002,45.4,,620430,53.9,9,1956
West Virginia,830831,381534,45.9,,449297,54.1,8,1956
Wisconsin,1550558,586768,37.8,,954844,61.6,12,1956
Wyoming,124127,49554,39.9,,74573,60.1,3,1956
