state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,426120,275075,64.6,11,149231,35.0,,1952
Arizona,260570,108528,41.7,,152042,58.3,4,1952
Arkansas,404800,226300,55.9,8,177155,43.8,,1952
California,5141849,2197548,42.7,,2897310,56.3,32,1952
Colorado,630103,245504,39.0,,379782,60.3,6,1952
Connecticut,1096911,481649,43.9,,611012,55.7,8,1952
Delaware,174025,83315,47.9,,90059,51.8,3,1952
Florida,989337,444950,45.0,,544036,55.0,10,1952
Georgia,655785,456823,69.7,12,198961,30.3,,1952
Idaho,276254,95081,34.4,,180707,65.4,4,1952
Illinois,4481058,2013920,44.9,,2457327,54.8,27,1952
Indiana,1955049,801530,41.0,,1136259,58.1,13,1952
Iowa,1268773,451513,35.6,,808906,63.8,10,1952
Kansas,896166,273296,30.5,,616302,68.8,8,1952
Kentucky,993148,495729,49.9,10,495029,49.8,,1952
Louisiana,651952,345027,52.9,10,306925,47.1,,1952
Maine,351786,118806,33.8,,232353,66.0,5,1952
Maryland,902074,395337,43.8,,499424,55.4,9,1952
Massachusetts,2383398,1083525,45.5,,1292325,54.2,16,1952
Michigan,2798592,1230657,44.0,,1551529,55.4,20,1952
Minnesota,1379483,608458,44.1,,763211,55.3,11,1952
Mississippi,285532,172566,60.4,8,112966,39.6,,1952
Missouri,1892062,929830,49.1,,959429,50.7,13,1952
Montana,265037,106213,40.1,,157394,59.4,4,1952
Nebraska,609660,188057,30.8,,421603,69.2,6,1952
Nevada,82190,31688,38.6,,50502,61.4,3,1952
New Hampshire,272950,106663,39.1,,166287,60.9,4,1952
New Jersey,2418554,1015902,42.0,,1373613,56.8,16,1952
New Mexico,238608,105661,44.3,,132170,55.4,4,1952
New York,7128239,3104601,43.6,,3952813,55.5,45,1952
North Carolina,1210910,652803,53.9,14,558107,46.1,,1952
North Dakota,270127,76694,28.4,,191712,71.0,4,1952
Ohio,3700758,1600367,43.2,,2100391,56.8,25,1952
Oklahoma,948984,430939,45.4,,518045,54.6,8,1952
Oregon,695059,270579,38.9,,420815,60.5,6,1952
Pennsylvania,4580969,2146269,46.9,,2415789,52.7,32,1952
Rhode Island,414498,203293,49.0,,210935,50.9,4,1952
South Carolina,341087,173004,50.7,8,9793,2.9,,1952
South Dakota,294283,90426,30.7,,203857,69.3,4,1952
Tennessee,892553,443710,49.7,,446147,50.0,11,1952
Texas,2075946,969228,46.7,,1102878,53.1,24,1952
Utah,329554,135364,41.1,,194190,58.9,4,1952
Vermont,153557,43355,28.2,,109717,71.5,3,1952
Virginia,619689,268677,43.4,,349037,56.3,12,1952
Washington,1102708,492845,44.7,,599107,54.3,9,1952
West Virginia,873548,453578,51.9,8,419970,48.1,,1952
Wisconsin,1607370,622175,38.7,,979744,61.0,12,1952
Wyoming,129253,47934,37.1,,81049,62.7,3,1952
