state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,1378476,549506,39.9,,815576,59.2,9,1988
Alaska,200116,72584,36.3,,119251,59.6,3,1988
Arizona,1171873,454029,38.7,,702541,60.0,7,1988
Arkansas,827738,349237,42.2,,466578,56.4,6,1988
California,9887065,4702233,47.6,,5054917,51.1,47,1988
Colorado,1372394,621453,45.3,,728177,53.1,8,1988
Connecticut,1443394,676584,46.9,,750241,52.0,8,1988
Delaware,249891,108647,43.5,,139639,55.9,3,1988
Dist. of Col.,192877,159407,82.6,3,27590,14.3,,1988
Florida,4302313,1656701,38.5,,2618885,60.9,21,1988
Georgia,1809672,714792,39.5,,1081331,59.8,12,1988
Hawaii,354461,192364,54.3,4,158625,44.8,,1988
Idaho,408968,147272,36.0,,253881,62.1,4,1988
Illinois,4559120,2215940,48.6,,2310939,50.7,24,1988
Indiana,2168621,860643,39.7,,1297763,59.8,12,1988
Iowa,1225614,670557,54.7,8,545355,44.5,,1988
Kansas,993044,422636,42.6,,554049,55.8,7,1988
Kentucky,1322517,580368,43.9,,734281,55.5,9,1988
Louisiana,1628202,717460,44.1,,883702,54.3,10,1988
Maine,555035,243569,43.9,,307131,55.3,4,1988
Maryland,1714358,826304,48.2,,876167,51.1,10,1988
Massachusetts,2632805,1401415,53.2,13,1194635,45.4,,1988
Michigan,3669163,1675783,45.7,,1965486,53.6,20,1988
Minnesota,2096790,1109471,52.9,10,962337,45.9,,1988
Mississippi,931527,363921,39.1,,557890,59.9,7,1988
Missouri,2093713,1001619,47.8,,1084953,51.8,11,1988
Montana,365674,168936,46.2,,190412,52.1,4,1988
Nebraska,661465,259235,39.2,,397956,60.2,5,1988
Nevada,350067,132738,37.9,,206040,58.9,4,1988
New Hampshire,451074,163696,36.3,,281537,62.4,4,1988
New Jersey,3099553,1320352,42.6,,1743192,56.2,16,1988
New Mexico,521287,244497,46.9,,270341,51.9,5,1988
New York,6485683,3347882,51.6,36,3081871,47.5,,1988
North Carolina,2134370,890167,41.7,,1237258,58.0,13,1988
North Dakota,297261,127739,43.0,,166559,56.0,3,1988
Ohio,4393699,1939629,44.1,,2416549,55.0,23,1988
Oklahoma,1171036,483423,41.3,,678367,57.9,8,1988
Oregon,1201694,616206,51.3,7,560126,46.6,,1988
Pennsylvania,4536251,2194944,48.4,,2300087,50.7,25,1988
Rhode Island,404620,225123,55.6,4,177761,43.9,,1988
South Carolina,986009,370554,37.6,,606443,61.5,8,1988
South Dakota,312991,145560,46.5,,165415,52.8,3,1988
Tennessee,1636250,679794,41.5,,947233,57.9,11,1988
Texas,5427410,2352748,43.3,,3036829,56.0,29,1988
Utah,647008,207343,32.0,,428442,66.2,5,1988
Vermont,243328,115775,47.6,,124331,51.1,3,1988
Virginia,2191609,859799,39.2,,1309162,59.7,12,1988
Washington,1865253,933516,50.0,10,903835,48.5,,1988
West Virginia*,653311,341016,52.2,5*,310065,47.5,,1988
Wisconsin,2191608,1126794,51.4,11,1047499,47.8,,1988
Wyoming,176551,67113,38.0,,106867,60.5,3,1988
