state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,2123372,729547,34.4,,1318255,62.1,9,2016
Alaska,318608,116454,36.6,,163387,51.3,3,2016
Arizona,2573165,1161167,45.1,,1252401,48.7,11,2016
Arkansas,1130635,380494,33.7,,684872,60.6,6,2016
California,14181595,8753788,61.7,55,4483810,31.6,,2016
Colorado,2780220,1338870,48.2,9,1202484,43.3,,2016
Connecticut,1644920,897572,54.6,7,673215,40.9,,2016
Delaware,441590,235603,53.4,3,185127,41.9,,2016
Dist. of Col.,311268,282830,90.9,3,12723,4.1,,2016
Florida,9420039,4504975,47.8,,4617886,49.0,29,2016
Georgia,4092373,1877963,45.9,,2089104,51.0,16,2016
Hawaii,428937,266891,62.2,4,128847,30.0,,2016
Idaho,690255,189765,27.5,,409055,59.3,4,2016
Illinois,5536424,3090729,55.8,20,2146015,38.8,,2016
Indiana,2734958,1033126,37.8,,1557286,56.9,11,2016
Iowa,1566031,653669,41.7,,800983,51.1,6,2016
Kansas,1184402,427005,36.1,,671018,56.7,6,2016
Kentucky,1924149,628854,32.7,,1202971,62.5,8,2016
Louisiana,2029032,780154,38.4,,1178638,58.1,8,2016
Maine,747927,357735,47.8,3,335593,44.9,1,2016
Maryland,2781446,1677928,60.3,10,943169,33.9,,2016
Massachusetts,3325046,1995196,60.0,11,1090893,32.8,,2016
Michigan,4799284,2268839,47.3,,2279543,47.5,16,2016
Minnesota,2944813,1367716,46.4,10,1322951,44.9,,2016
Mississippi,1209357,485131,40.1,,700714,57.9,6,2016
Missouri,2808605,1071068,38.1,,1594511,56.8,10,2016
Montana,494526,177709,35.9,,279240,56.5,3,2016
Nebraska,844227,284494,33.7,,495961,58.7,2,2016
CD-1,282338,100126,35.5,,158626,56.2,1,2016
CD-2,291680,131030,44.9,,137564,47.2,1,2016
CD-3,270109,53290,19.7,,199657,73.9,1,2016
Nevada,1125385,539260,47.9,6,512058,45.5,,2016
New Hampshire,744296,348526,46.8,4,345790,46.5,,2016
New Jersey,3874046,2148278,55.5,14,1601933,41.4,,2016
New Mexico,798318,385234,48.3,5,319666,40.0,,2016
New York,7622328,4491191,58.9,29,2790073,36.6,,2016
North Carolina,4741558,2189313,46.2,,2362628,49.8,15,2016
North Dakota,344360,93758,27.2,,216794,63.0,3,2016
Ohio,5496487,2394164,43.6,,2841005,51.7,18,2016
Oklahoma,1452992,420375,28.9,,949136,65.3,7,2016
Oregon,2001336,1002106,50.1,7,782403,39.1,,2016
Pennsylvania,6115402,2926441,47.9,,2970733,48.6,20,2016
Rhode Island,464144,252525,54.4,4,180543,38.9,,2016
South Carolina,2103027,855373,40.7,,1155389,54.9,9,2016
South Dakota,370047,117442,31.7,,227701,61.5,3,2016
Tennessee,2508027,870695,34.7,,1522925,60.7,11,2016
Texas,8969226,3877868,43.2,,4685047,52.2,38,2016
Utah,1131430,310676,27.5,,515231,45.5,6,2016
Vermont,315067,178573,56.7,3,95369,30.3,,2016
Virginia,3982752,1981473,49.8,13,1769443,44.4,,2016
Washington,3209214,1742718,54.3,12,1221747,38.1,,2016
West Virginia,713051,188794,26.5,,489371,68.6,5,2016
Wisconsin,2976150,1382536,46.5,,1405284,47.2,10,2016
Wyoming,255849,55973,21.9,,174419,68.2,3,2016
