state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,1049922,196579,18.7,,146923,14.0,,1968
Alaska,83035,35411,42.6,,37600,45.3,3,1968
Arizona,486936,170514,35.0,,266721,54.8,5,1968
Arkansas,619969,188228,30.4,,190759,30.8,,1968
California,7251587,3244318,44.7,,3467664,47.8,40,1968
Colorado,811199,335174,41.3,,409345,50.5,6,1968
Connecticut,1256232,621561,49.5,8,556721,44.3,,1968
Delaware,214367,89194,41.6,,96714,45.1,3,1968
Dist. of Col.,170578,139566,81.8,3,31012,18.2,,1968
Florida,2187805,676794,30.9,,886804,40.5,14,1968
Georgia,1250266,334440,26.7,,380111,30.4,,1968
Hawaii,236218,141324,59.8,4,91425,38.7,,1968
Idaho,291183,89273,30.7,,165369,56.8,4,1968
Illinois,4619749,2039814,44.2,,2174774,47.1,26,1968
Indiana,2123597,806659,38.0,,1067885,50.3,13,1968
Iowa,1167931,476699,40.8,,619106,53.0,9,1968
Kansas,872783,302996,34.7,,478674,54.8,7,1968
Kentucky,1055893,397541,37.6,,462411,43.8,9,1968
Louisiana,1097450,309615,28.2,,257535,23.5,,1968
Maine,392936,217312,55.3,4,169254,43.1,,1968
Maryland,1235039,538310,43.6,10,517995,41.9,,1968
Massachusetts,2331752,1469218,63.0,14,766844,32.9,,1968
Michigan,3306250,1593082,48.2,21,1370665,41.5,,1968
Minnesota,1588506,857738,54.0,10,658643,41.5,,1968
Mississippi,654509,150644,23.0,,88516,13.5,,1968
Missouri,1809502,791444,43.7,,811932,44.9,12,1968
Montana,274404,114117,41.6,,138835,50.6,4,1968
Nebraska,536851,170784,31.8,,321163,59.8,5,1968
Nevada,154218,60598,39.3,,73188,47.5,3,1968
New Hampshire,297298,130589,43.9,,154903,52.1,4,1968
New Jersey,2875395,1264206,44.0,,1325467,46.1,17,1968
New Mexico,327350,130081,39.7,,169692,51.8,4,1968
New York,6791688,3378470,49.7,43,3007932,44.3,,1968
North Carolina,1587493,464113,29.2,,627192,39.5,12,1968
North Dakota,247882,94769,38.2,,138669,55.9,4,1968
Ohio,3959698,1700586,42.9,,1791014,45.2,26,1968
Oklahoma,943086,301658,32.0,,449697,47.7,8,1968
Oregon,819622,358866,43.8,,408433,49.8,6,1968
Pennsylvania,4747928,2259405,47.6,29,2090017,44.0,,1968
Rhode Island,385000,246518,64.0,4,122359,31.8,,1968
South Carolina,666978,197486,29.6,,254062,38.1,8,1968
South Dakota,281264,118023,42.0,,149841,53.3,4,1968
Tennessee,1248617,351233,28.1,,472592,37.8,11,1968
Texas,3079216,1266804,41.1,25,1227844,39.9,,1968
Utah,422568,156665,31.1,,238728,56.5,4,1968
Vermont,161404,70255,43.5,,85142,52.8,3,1968
Virginia,1361491,442387,32.5,,590319,43.4,12,1968
Washington,1304281,616037,47.2,9,588510,45.1,,1968
West Virginia,754206,374091,49.6,7,307555,40.8,,1968
Wisconsin,1691538,748804,44.3,,809997,47.9,12,1968
Wyoming,127205,45173,35.5,,70927,55.8,3,1968
