state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama*,570225,324050,56.8,5*,237981,41.7,,1960
Alaska,60762,29809,49.1,,30953,50.9,3,1960
Arizona,398491,176781,44.4,,221241,55.5,4,1960
Arkansas,428509,215049,50.2,8,184508,43.1,,1960
California,6506578,3224099,49.6,,3259722,50.1,32,1960
Colorado,736236,330629,44.9,,402242,54.6,6,1960
Connecticut,1222883,657055,53.7,8,565813,46.3,,1960
Delaware,196683,99590,50.6,3,96373,49.0,,1960
Florida,1544176,748700,48.5,,795476,51.5,10,1960
Georgia,733349,458638,62.5,12,274472,37.4,,1960
Hawaii,184705,92410,50.0,3,92295,50.0,,1960
Idaho,300450,138853,46.2,,161597,53.8,4,1960
Illinois,4757409,2377846,50.0,27,2368988,49.8,,1960
Indiana,2135360,952358,44.6,,1175120,55.0,13,1960
Iowa,1273810,550565,43.2,,722381,56.7,10,1960
Kansas,928825,363213,39.1,,561474,60.4,8,1960
Kentucky,1124462,521855,46.4,,602607,53.6,10,1960
Louisiana,807891,407339,50.4,10,230980,28.6,,1960
Maine,421767,181159,43.0,,240608,57.0,5,1960
Maryland,1055349,565808,53.6,9,489538,46.4,,1960
Massachusetts,2469480,1487174,60.2,16,976750,39.6,,1960
Michigan,3318097,1687269,50.9,20,1620428,48.8,,1960
Minnesota,1541887,779933,50.6,11,757915,49.2,,1960
Mississippi*,298171,108362,36.3,*,73561,24.7,*,1960
Missouri,1934422,972201,50.3,13,962221,49.7,,1960
Montana,277579,134891,48.6,,141841,51.1,4,1960
Nebraska,613095,232542,37.9,,380553,62.1,6,1960
Nevada,107267,54880,51.2,3,52387,48.8,,1960
New Hampshire,295761,137772,46.6,,157989,53.4,4,1960
New Jersey,2773111,1385415,50.0,16,1363324,49.2,,1960
New Mexico,311107,156027,50.2,4,153733,49.4,,1960
New York,7291079,3830085,52.5,45,3446419,47.3,,1960
North Carolina,1368556,713136,52.1,14,655420,47.9,,1960
North Dakota,278431,123963,44.5,,154310,55.4,4,1960
Ohio,4161859,1944248,46.7,,2217611,53.3,25,1960
Oklahoma*,903150,370111,41.0,,533039,59.0,7*,1960
Oregon,776421,367402,47.3,,408060,52.6,6,1960
Pennsylvania,5006541,2556282,51.1,32,2439956,48.7,,1960
Rhode Island,405535,258032,63.6,4,147502,36.4,,1960
South Carolina,386688,198129,51.2,8,188558,48.8,,1960
South Dakota,306487,128070,41.8,,178417,58.2,4,1960
Tennessee,1051792,481453,45.8,,556577,52.9,11,1960
Texas,2311084,1167567,50.5,24,1121310,48.5,,1960
Utah,374709,169248,45.2,,205361,54.8,4,1960
Vermont,167324,69186,41.3,,98131,58.6,3,1960
Virginia,771449,362327,47.0,,404521,52.4,12,1960
Washington,1241572,599298,48.3,,629273,50.7,9,1960
West Virginia,837781,441786,52.7,8,395995,47.3,,1960
Wisconsin,1729082,830805,48.0,,895175,51.8,12,1960
Wyoming,140782,63331,45.0,,77451,55.0,3,1960
